task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
622	d8/514b93	117755	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_501_3_B)	COMPLETED	0	2024-04-03 09:31:28.413	496ms	34ms	86.7%	0	0	118.5 KB	926 B
127	37/dfe95b	114349	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_VW_C2_S)	COMPLETED	0	2024-04-03 09:31:23.935	5.5s	5s	241.0%	763.4 MB	6.4 GB	37.3 MB	5 MB
623	ce/2edc86	118180	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_501_3_S)	COMPLETED	0	2024-04-03 09:31:28.940	542ms	40ms	67.1%	1.5 MB	3.9 MB	118.5 KB	927 B
627	56/e30bd7	118598	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_501_4_B)	COMPLETED	0	2024-04-03 09:31:29.509	375ms	39ms	55.8%	1.5 MB	3.9 MB	118.5 KB	926 B
133	89/e1bf3a	117754	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_VW_C3_S)	COMPLETED	0	2024-04-03 09:31:28.392	2.4s	2s	342.5%	292 MB	1.5 GB	259.8 MB	249.2 MB
130	7b/c21f33	116188	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_VW_C3_B)	COMPLETED	0	2024-04-03 09:31:26.635	4.4s	4s	276.7%	449.5 MB	6.4 GB	31.1 MB	5.1 MB
632	d2/7af97f	119478	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_DI_BK1B_NA)	COMPLETED	0	2024-04-03 09:31:30.818	376ms	57ms	42.9%	1.5 MB	3.9 MB	118.5 KB	926 B
136	ef/089389	118587	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_VW_S5_B)	COMPLETED	0	2024-04-03 09:31:29.470	2.4s	2s	448.2%	334.9 MB	1.7 GB	341.1 MB	329.9 MB
635	86/e50bd2	120403	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_DI_BK2A_NA)	COMPLETED	0	2024-04-03 09:31:31.878	479ms	60ms	66.5%	1.5 MB	3.9 MB	118.5 KB	926 B
637	a3/f6f111	120864	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_DI_BK2B_NA)	COMPLETED	0	2024-04-03 09:31:32.377	444ms	33ms	113.5%	1.5 MB	3.9 MB	118.5 KB	928 B
134	3d/914f40	117380	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_VW_C3_S)	COMPLETED	0	2024-04-03 09:31:27.764	5.4s	4s	258.8%	480 MB	6.4 GB	29.5 MB	5 MB
641	74/bc44f5	121146	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_01_B)	COMPLETED	0	2024-04-03 09:31:32.851	467ms	68ms	48.3%	1.5 MB	3.9 MB	118.5 KB	926 B
140	06/124f64	120397	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_VW_S5_S)	COMPLETED	0	2024-04-03 09:31:31.857	2.1s	1s	360.5%	276.8 MB	1.5 GB	233.8 MB	223.9 MB
646	ba/1c3743	121958	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_02_B)	COMPLETED	0	2024-04-03 09:31:34.038	527ms	78ms	30.7%	1.9 MB	6.4 MB	118.5 KB	926 B
137	e6/432533	119440	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_VW_S5_B)	COMPLETED	0	2024-04-03 09:31:30.800	4.1s	3s	272.2%	643.3 MB	6.4 GB	33.6 MB	5 MB
647	ab/f421f8	122634	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_03_B)	COMPLETED	0	2024-04-03 09:31:34.600	482ms	35ms	108.6%	1.5 MB	3.9 MB	118.5 KB	928 B
142	e2/8876cd	121366	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_VW_S6_B)	COMPLETED	0	2024-04-03 09:31:33.174	2.4s	2s	418.1%	332.4 MB	1.7 GB	318 MB	307.1 MB
